jobTitle,companyName,salary,skills,jobUrl,approvedOn,expiredOn
"Specialist, IT Solution Delivery (12-Month contract)",FWD Vietnam Life Insurance Company Limited,Thương lượng,"Mobile Apps, Java Spring, IT Development, ReactJs, Full Stack Development",https://www.vietnamworks.com/specialist-it-solution-delivery-12-month-contract-1990891-jv,2025-12-08T18:08:27+07:00,2026-01-07T23:59:59+07:00
Chuyên Gia Ứng Dụng và Chuyển Đổi Số,Công Ty Cổ Phần Tập Đoàn F.I.T,Thương lượng,"SAP, Quản Trị Dự Án, Quản Lý Ngân Sách, Big Data, Quản Trị Dữ Liệu",https://www.vietnamworks.com/chuyen-gia-ung-dung-va-chuyen-doi-so-1983138-jv,2025-11-18T15:50:21+07:00,2025-12-18T23:59:59+07:00
Software Support Engineer Microsoft CRM & ERP,"Teknowledge Ops Vietnam Co., Ltd",Thương lượng,"CRM Platform, ERP Support, Technical Support, Dynamics 365, Customer Support",https://www.vietnamworks.com/software-support-engineer-microsoft-crm-erp--1984032-jv,2025-11-20T15:15:24+07:00,2025-12-20T23:59:59+07:00
"[2025_CSANTT]_Chuyên viên Chính sách an ninh thông tin (Chính sách, tuân thủ)",Ngân Hàng TMCP Ngoại Thương Việt Nam - Vietcombank,Thương lượng,"An Ninh Mạng, An Toàn Thông Tin, Bảo Mật Hệ Thống, CNTT, System Security Management",https://www.vietnamworks.com/2025_csantt_chuyen-vien-chinh-sach-an-ninh-thong-tin-chinh-sach-tuan-thu-1986701-jv,2025-11-27T15:59:40+07:00,2025-12-27T23:59:59+07:00
"[Middle, Senior] Mobile Developer (Flutter, React Native) - Khối Công nghệ thông tin (HO25.495)",Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Thương lượng,"Android Studio, C#, Kotlin, Lập Trình Java, Swift, Swift",https://www.vietnamworks.com/middle-senior-mobile-developer-flutter-react-native-khoi-cong-nghe-thong-tin-ho25-495-1986688-jv,2025-11-27T15:51:52+07:00,2025-12-27T23:59:59+07:00
Software Project Leader - Project Manager (Quantity: 01),LG Electronics R&D Vietnam,Thương lượng,"English, Automotive, Project Improvement, Project Management, Electronic",https://www.vietnamworks.com/software-project-leader-project-manager-quantity-01--1986604-jv,2025-11-27T15:03:10+07:00,2025-12-27T23:59:59+07:00
[2025_CSANTT]_Chuyên viên Chính sách an ninh thông tin (An ninh ứng dụng),Ngân Hàng TMCP Ngoại Thương Việt Nam - Vietcombank,Thương lượng,"An Ninh Mạng, An Toàn Thông Tin, Bảo Mật Hệ Thống, CNTT, System Security Management",https://www.vietnamworks.com/2025_csantt_chuyen-vien-chinh-sach-an-ninh-thong-tin-an-ninh-ung-dung-1986681-jv,2025-11-27T15:55:49+07:00,2025-12-27T23:59:59+07:00
[2025_CSANTT]_Chuyên viên Chính sách an ninh thông tin (Kiến trúc an ninh thông tin),Ngân Hàng TMCP Ngoại Thương Việt Nam - Vietcombank,Thương lượng,"An Ninh Mạng, An Toàn Thông Tin, Bảo Mật Hệ Thống, CNTT, System Security Management",https://www.vietnamworks.com/2025_csantt_chuyen-vien-chinh-sach-an-ninh-thong-tin-kien-truc-an-ninh-thong-tin-1986697-jv,2025-11-27T15:57:39+07:00,2025-12-27T23:59:59+07:00
Delivery Manager (for Expats),ISB VIETNAM COMPANY LIMITED,Thương lượng,"Agile Methodologies, Client Relationship, Communication, Project Management, Team Management",https://www.vietnamworks.com/delivery-manager-for-expats-1988227-jv,2025-12-01T15:43:02+07:00,2025-12-31T23:59:59+07:00
AI Engineer (3 Years Experience),"Toshiba Software Development (Vietnam) CO., LTD",Thương lượng,"Application Solution, Python Programming, Generative AI Applications, Deep Learning, Analytical Skills",https://www.vietnamworks.com/ai-engineer-3-years-experience-1975571-jv,2025-12-03T15:58:50+07:00,2026-01-02T23:59:59+07:00
"Back-end Developer (Java, .NET, Golang)",CÔNG TY CỔ PHẦN VINSMART FUTURE,Thương lượng,".Net, Golang, Java, Java",https://www.vietnamworks.com/back-end-developer-java-net-golang-1989220-jv,2025-12-03T15:17:30+07:00,2026-01-02T23:59:59+07:00
Application Service Engineer,"Panasonic Vietnam Co.,LTD",Thương lượng,"OOP, Manufacture Process, Backend Application, Application Server",https://www.vietnamworks.com/application-service-engineer-1981261-jv,2025-12-15T15:36:54+07:00,2026-01-14T23:59:59+07:00
School Systems & Cloud Administrator,Hệ Thống Giáo Dục Victoria School,Thương lượng,"AWS Cloud Computing, Data protection regulations, Google Workspace Administration, Google Workspace Administration, Network Security, Vietnamese fluency",https://www.vietnamworks.com/school-systems-and-cloud-administrator-1993009-jv,2025-12-15T15:28:56+07:00,2026-01-14T23:59:59+07:00
[Hybrid] QA/ QC Đà Lạt 2025,Công Ty TNHH Cubicasa Việt Nam - Chi Nhánh Thừa Thiên Huế,Thương lượng,"QAC, Photoshop, Lightroom, Attention To Detail, Aesthetic Thinking",https://www.vietnamworks.com/hybrid-qa-qc-da-lat-2025-1981944-jv,2025-12-15T14:31:33+07:00,2026-01-14T23:59:59+07:00
Trưởng Phòng Công Nghệ Số (Thu Nhập Hấp Dẫn Cạnh Tranh),Công Ty Cổ Phần Dịch Vụ Kỹ Thuật MobiFone,Thương lượng,"Công Nghệ Thông Tin, Xây Dựng Sản Phẩm Số, Quản Lý Dự Án Công Nghệ, Ứng Dụng Công Nghệ Số, Giải Pháp Bảo Mật",https://www.vietnamworks.com/truong-phong-cong-nghe-so-thu-nhap-hap-dan-canh-tranh-1986369-jv,2025-11-27T13:58:44+07:00,2025-12-27T23:59:59+07:00
Trưởng Phòng Hạ Tầng Viễn Thông (Thu Nhập Hấp Dẫn Cạnh Tranh),Công Ty Cổ Phần Dịch Vụ Kỹ Thuật MobiFone,Thương lượng,"Quản Lý Hạ Tầng, Điện Tử Viễn Thông, Quản Lý Dự Án Viễn Thông, Kinh Doanh Viễn Thông, 5G Technology",https://www.vietnamworks.com/truong-phong-ha-tang-vien-thong-thu-nhap-hap-dan-canh-tranh-1986375-jv,2025-11-27T13:59:22+07:00,2025-12-27T23:59:59+07:00
IT Networking Technical Executive,Công ty TNHH Panasonic Electric Works Việt Nam,Thương lượng,"English Communication, Information Technology, Network, Problem Solving, Technical Support",https://www.vietnamworks.com/it-networking-technical-executive-1990609-jv,2025-12-08T13:27:45+07:00,2026-01-07T23:59:59+07:00
Chuyên Viên IT,"Trường Quản Trị Và Kinh Doanh, ĐHQGHN",Thương lượng,"IT System Administration, IT Helpdesk, IT Administration, Helpdesk, Công Nghệ Thông Tin",https://www.vietnamworks.com/chuyen-vien-it--1990632-jv,2025-12-08T13:56:50+07:00,2026-01-07T23:59:59+07:00
Head Of VPBank Enterprise Data And Analytics Division Id671,VPBank - Https://tuyendung.vpbank.com.vn/,Thương lượng,"AI application, Business Analysis, Data Management, Leadership, Problem-solving",https://www.vietnamworks.com/head-of-vpbank-enterprise-data-and-analytics-division-id671-1974977-jv,2025-12-09T09:28:05+07:00,2026-01-08T23:59:59+07:00
Group Chief Data Scientist Id661,VPBank - Https://tuyendung.vpbank.com.vn/,Thương lượng,"Data Science, Leadership, Machine Learning, Statistical Modeling, Programming (Python, R, Sql)",https://www.vietnamworks.com/group-chief-data-scientist-id661-1991046-jv,2025-12-09T12:01:26+07:00,2026-01-08T23:59:59+07:00
Senior Data Processing & Visualization Specialist,FE CREDIT,Thương lượng,"Communication, Data Warehouse Systems, ETL, Python, SQL",https://www.vietnamworks.com/senior-data-processing-and-visualization-specialist-1977424-jv,2025-12-08T15:22:09+07:00,2026-01-07T23:59:59+07:00
Embedded Software Development Engineer,Công Ty TNHH Đà Nẵng Nippon Seiki,Thương lượng,"C++, MATLAB, Simulink, Embedded Software, Software Technology",https://www.vietnamworks.com/embedded-software-development-engineer--1984264-jv,2025-11-21T11:12:54+07:00,2025-12-21T23:59:59+07:00
[ Hot Job ] Nhân Viên Phát Triển Phần Mềm,Brother Industries (Vietnam) Ltd.,Thương lượng,"C#, ASP.Net, NetCore, Entity Framework, SQL Server",https://www.vietnamworks.com/hot-job-nhan-vien-phat-trien-phan-mem--1984306-jv,2025-11-21T11:20:08+07:00,2025-12-21T23:59:59+07:00
Chuyên Viên Kỹ Thuật,Công Ty Cổ Phần Thiết Bị Và Giải Pháp Cơ Khí AUTOMECH,Thương lượng,"Cơ Khí, Cơ Điện Tử, Tự Động Hóa, SolidWorks, Kỹ năng làm việc nhóm",https://www.vietnamworks.com/chuyen-vien-ky-thuat-1990520-jv,2025-12-08T11:00:57+07:00,2026-01-07T23:59:59+07:00
